"Date","Currency","DMD & TT","Notes","Coins","DMD, TT & Cash"
"18 Jun 2025","U.S. DOLLAR","158.6192","150.6900","130.6900","160.0126"
"19 Jun 2025","U.S. DOLLAR","158.4763","150.5500","130.5500","160.5442"
"20 Jun 2025","U.S. DOLLAR","158.6344","150.7000","130.7000","160.6090"
"23 Jun 2025","U.S. DOLLAR","159.0201","151.0700","131.0700","160.9344"
"24 Jun 2025","U.S. DOLLAR","159.1159","151.1600","131.1600","160.9541"
"25 Jun 2025","U.S. DOLLAR","159.3240","151.3600","131.3600","161.1331"
"26 Jun 2025","U.S. DOLLAR","159.3727","151.4000","131.4000","161.2184"
"27 Jun 2025","U.S. DOLLAR","159.6327","151.6500","131.6500","161.4692"
"30 Jun 2025","U.S. DOLLAR","159.7150","151.7300","131.7300","160.8200"
"01 Jul 2025","U.S. DOLLAR","158.9623","151.0100","131.0100","160.3634"
"02 Jul 2025","U.S. DOLLAR","158.8593","150.9200","130.9200","160.0995"
"03 Jul 2025","U.S. DOLLAR","158.6901","150.7600","130.7600","160.3506"
"04 Jul 2025","U.S. DOLLAR","158.6093","150.6800","130.6800","160.6268"
"07 Jul 2025","U.S. DOLLAR","158.5003","150.5800","130.5800","160.7680"
"08 Jul 2025","U.S. DOLLAR","158.9645","151.0200","131.0200","160.6383"
"09 Jul 2025","U.S. DOLLAR","158.8979","150.9500","130.9500","161.0458"
"10 Jul 2025","U.S. DOLLAR","158.9880","151.0400","131.0400","161.0569"
"11 Jul 2025","U.S. DOLLAR","159.3475","151.3800","131.3800","161.1588"
"14 Jul 2025","U.S. DOLLAR","158.8917","150.9500","130.9500","161.1950"
"15 Jul 2025","U.S. DOLLAR","159.0380","151.0900","131.0900","161.0948"
"16 Jul 2025","U.S. DOLLAR","159.4007","151.4300","131.4300","161.2669"
"17 Jul 2025","U.S. DOLLAR","158.9970","151.0500","131.0500","161.2750"
"18 Jul 2025","U.S. DOLLAR","159.0258","151.0700","131.0700","161.2739"
"21 Jul 2025","U.S. DOLLAR","159.4626","151.4900","131.4900","161.2179"
"22 Jul 2025","U.S. DOLLAR","159.4804","151.5100","131.5100","161.1748"
"23 Jul 2025","U.S. DOLLAR","159.2490","151.2900","131.2900","161.2855"
"24 Jul 2025","U.S. DOLLAR","159.5811","151.6000","131.6000","161.3136"
"25 Jul 2025","U.S. DOLLAR","159.5392","151.5600","131.5600","161.3244"
"28 Jul 2025","U.S. DOLLAR","159.3236","151.3600","131.3600","161.2910"
"29 Jul 2025","U.S. DOLLAR","159.0918","151.1400","131.1400","161.1606"
"30 Jul 2025","U.S. DOLLAR","159.1108","151.1600","131.1600","161.3070"
"31 Jul 2025","U.S. DOLLAR","159.5356","151.5600","131.5600","161.2558"
"04 Aug 2025","U.S. DOLLAR","159.0915","151.1400","131.1400","161.2487"
"05 Aug 2025","U.S. DOLLAR","158.9035","150.9600","130.9600","161.1305"
"07 Aug 2025","U.S. DOLLAR","159.2326","151.2700","131.2700","161.2459"
"08 Aug 2025","U.S. DOLLAR","159.2179","151.2600","131.2600","161.2513"
"11 Aug 2025","U.S. DOLLAR","159.0707","151.1200","131.1200","161.2640"
"12 Aug 2025","U.S. DOLLAR","159.3729","151.4000","131.4000","161.1707"
"13 Aug 2025","U.S. DOLLAR","159.1166","151.1600","131.1600","161.3096"
"14 Aug 2025","U.S. DOLLAR","159.1394","151.1800","131.1800","161.3103"
"15 Aug 2025","U.S. DOLLAR","159.2570","151.2900","131.2900","161.4176"
"18 Aug 2025","U.S. DOLLAR","159.2123","151.2500","131.2500","161.3793"
"19 Aug 2025","U.S. DOLLAR","159.3122","151.3500","131.3500","161.3365"
"20 Aug 2025","U.S. DOLLAR","159.8286","151.8400","131.8400","161.0187"
"21 Aug 2025","U.S. DOLLAR","159.4237","151.4500","131.4500","160.9246"
"22 Aug 2025","U.S. DOLLAR","159.2745","151.3100","131.3100","160.5724"
"25 Aug 2025","U.S. DOLLAR","159.2229","151.2600","131.2600","160.8427"
"26 Aug 2025","U.S. DOLLAR","158.9321","150.9900","130.9900","160.8144"
"27 Aug 2025","U.S. DOLLAR","158.6247","150.6900","130.6900","160.9934"
"28 Aug 2025","U.S. DOLLAR","159.1433","151.1900","131.1900","161.0680"
"29 Aug 2025","U.S. DOLLAR","159.3144","151.3500","131.3500","160.9162"
"01 Sep 2025","U.S. DOLLAR","159.5304","151.5500","131.5500","161.0926"
"02 Sep 2025","U.S. DOLLAR","158.7152","150.7800","130.7800","160.8768"
"03 Sep 2025","U.S. DOLLAR","159.2453","151.2800","131.2800","161.0196"
"04 Sep 2025","U.S. DOLLAR","159.1417","151.1800","131.1800","161.1688"
"05 Sep 2025","U.S. DOLLAR","159.6055","151.6300","131.6300","161.2536"
"08 Sep 2025","U.S. DOLLAR","159.1034","151.1500","131.1500","161.3126"
"09 Sep 2025","U.S. DOLLAR","159.1910","151.2300","131.2300","161.1093"
"10 Sep 2025","U.S. DOLLAR","159.2124","151.2500","131.2500","161.2959"
"11 Sep 2025","U.S. DOLLAR","159.4903","151.5200","131.5200","161.4359"
"12 Sep 2025","U.S. DOLLAR","159.7315","151.7400","131.7400","161.4761"
"15 Sep 2025","U.S. DOLLAR","159.7836","151.7900","131.7900","161.5188"
"16 Sep 2025","U.S. DOLLAR","159.5694","151.5900","131.5900","161.4733"
"17 Sep 2025","U.S. DOLLAR","159.5548","151.5800","131.5800","160.8734"
"18 Sep 2025","U.S. DOLLAR","159.5509","151.5700","131.5700","160.7451"
"19 Sep 2025","U.S. DOLLAR","159.4623","151.4900","131.4900","160.4825"
"22 Sep 2025","U.S. DOLLAR","159.3025","151.3400","131.3400","160.7623"
"23 Sep 2025","U.S. DOLLAR","159.0016","151.0500","131.0500","160.7944"
"24 Sep 2025","U.S. DOLLAR","158.8794","150.9400","130.9400","160.9293"
"25 Sep 2025","U.S. DOLLAR","159.2181","151.2600","131.2600","161.0476"
"26 Sep 2025","U.S. DOLLAR","159.6604","151.6800","131.6800","161.1281"
"29 Sep 2025","U.S. DOLLAR","159.2106","151.2500","131.2500","161.2612"
"30 Sep 2025","U.S. DOLLAR","159.4700","151.5000","131.5000","161.0583"
"01 Oct 2025","U.S. DOLLAR","159.2389","151.2800","131.2800","161.2235"
"02 Oct 2025","U.S. DOLLAR","159.7222","151.7400","131.7400","161.2959"
"03 Oct 2025","U.S. DOLLAR","159.3269","151.3600","131.3600","161.3455"
"06 Oct 2025","U.S. DOLLAR","159.6949","151.7100","131.7100","161.3422"
"07 Oct 2025","U.S. DOLLAR","159.1695","151.2100","131.2100","161.2860"
"08 Oct 2025","U.S. DOLLAR","160.0678","152.0600","132.0600","161.5678"
"09 Oct 2025","U.S. DOLLAR","159.8907","151.9000","131.9000","161.6176"
"10 Oct 2025","U.S. DOLLAR","159.7856","151.8000","131.8000","161.5399"
"13 Oct 2025","U.S. DOLLAR","159.9530","151.9600","131.9600","161.6182"
"14 Oct 2025","U.S. DOLLAR","159.3284","151.3600","131.3600","161.8478"
"15 Oct 2025","U.S. DOLLAR","159.8187","151.8300","131.8300","161.7263"
"16 Oct 2025","U.S. DOLLAR","159.8289","151.8400","131.8400","161.8934"
"17 Oct 2025","U.S. DOLLAR","160.2243","152.2100","132.2100","161.4139"
"21 Oct 2025","U.S. DOLLAR","159.9223","151.9300","131.9300","161.0992"
"22 Oct 2025","U.S. DOLLAR","159.5661","151.5900","131.5900","160.7732"
"23 Oct 2025","U.S. DOLLAR","159.4660","151.4900","131.4900","161.2870"
"24 Oct 2025","U.S. DOLLAR","159.3534","151.3900","131.3900","161.2338"
"27 Oct 2025","U.S. DOLLAR","159.3986","151.4300","131.4300","161.3809"
"28 Oct 2025","U.S. DOLLAR","158.9406","150.9900","130.9900","161.0077"
"31 Oct 2025","U.S. DOLLAR","159.6108","151.6300","131.6300","161.3762"
"03 Nov 2025","U.S. DOLLAR","159.5868","151.6100","131.6100","161.4640"
"04 Nov 2025","U.S. DOLLAR","160.0950","152.0900","132.0900","161.3822"
"05 Nov 2025","U.S. DOLLAR","159.5171","151.5400","131.5400","161.7001"
"06 Nov 2025","U.S. DOLLAR","160.0975","152.0900","132.0900","161.9004"
"07 Nov 2025","U.S. DOLLAR","160.0730","152.0700","132.0700","161.2932"
"10 Nov 2025","U.S. DOLLAR","159.9361","151.9400","131.9400","161.0447"
"11 Nov 2025","U.S. DOLLAR","159.8794","151.8900","131.8900","160.9093"
"12 Nov 2025","U.S. DOLLAR","159.5587","151.5800","131.5800","160.8240"
"13 Nov 2025","U.S. DOLLAR","159.7293","151.7400","131.7400","161.2287"
"14 Nov 2025","U.S. DOLLAR","159.4820","151.5100","131.5100","161.3936"
"17 Nov 2025","U.S. DOLLAR","159.7889","151.8000","131.8000","161.6206"
"18 Nov 2025","U.S. DOLLAR","159.7585","151.7700","131.7700","161.6806"
"19 Nov 2025","U.S. DOLLAR","159.7051","151.7200","131.7200","161.9600"
"20 Nov 2025","U.S. DOLLAR","159.9283","151.9300","131.9300","161.2109"
"21 Nov 2025","U.S. DOLLAR","159.6482","151.6700","131.6700","160.8091"
"24 Nov 2025","U.S. DOLLAR","159.6406","151.6600","131.6600","160.6512"
"25 Nov 2025","U.S. DOLLAR","159.2634","151.3000","131.3000","161.0532"
"26 Nov 2025","U.S. DOLLAR","159.2248","151.2600","131.2600","161.1227"
"27 Nov 2025","U.S. DOLLAR","159.4947","151.5200","131.5200","161.2762"
"28 Nov 2025","U.S. DOLLAR","159.3721","151.4000","131.4000","161.2740"
"01 Dec 2025","U.S. DOLLAR","159.3394","151.3700","131.3700","161.2044"
"02 Dec 2025","U.S. DOLLAR","159.6155","151.6300","131.6300","161.0502"
"03 Dec 2025","U.S. DOLLAR","159.3697","151.4000","131.4000","161.1505"
"04 Dec 2025","U.S. DOLLAR","159.1553","151.2000","131.2000","161.2603"
"05 Dec 2025","U.S. DOLLAR","159.3815","151.4100","131.4100","161.2065"
"08 Dec 2025","U.S. DOLLAR","159.1460","151.1900","131.1900","161.0654"
"09 Dec 2025","U.S. DOLLAR","159.4506","151.4800","131.4800","161.0177"
"10 Dec 2025","U.S. DOLLAR","159.2865","151.3200","131.3200","161.1408"
"11 Dec 2025","U.S. DOLLAR","159.2285","151.2700","131.2700","161.0891"
"12 Dec 2025","U.S. DOLLAR","158.8901","150.9500","130.9500","161.0981"
"15 Dec 2025","U.S. DOLLAR","159.4554","151.4800","131.4800","160.9168"
"16 Dec 2025","U.S. DOLLAR","159.1290","151.1700","131.1700","160.8208"
"17 Dec 2025","U.S. DOLLAR","159.1010","151.1500","131.1500","160.3451"
"18 Dec 2025","U.S. DOLLAR","159.1454","151.1900","131.1900","160.6852"
"19 Dec 2025","U.S. DOLLAR","158.7092","150.7700","130.7700","160.5938"
"22 Dec 2025","U.S. DOLLAR","159.0327","151.0800","131.0800","160.2990"
"23 Dec 2025","U.S. DOLLAR","158.6296","150.7000","130.7000","160.1126"
"24 Dec 2025","U.S. DOLLAR","158.6046","150.6700","130.6700","159.7567"
"29 Dec 2025","U.S. DOLLAR","158.4059","150.4900","130.4900","159.9008"
"30 Dec 2025","U.S. DOLLAR","158.0115","150.1100","130.1100","159.9267"
"31 Dec 2025","U.S. DOLLAR","157.9827","150.0800","130.0800","159.8360"
"01 Jan 2026","U.S. DOLLAR","158.1112","150.2100","130.2100","159.7395"
"05 Jan 2026","U.S. DOLLAR","157.8735","149.9800","129.9800","159.4748"
"06 Jan 2026","U.S. DOLLAR","157.3880","149.5200","129.5200","159.4601"
"07 Jan 2026","U.S. DOLLAR","157.3772","149.5100","129.5100","159.3193"
"08 Jan 2026","U.S. DOLLAR","157.4561","149.5800","129.5800","159.3732"
"09 Jan 2026","U.S. DOLLAR","157.7009","149.8200","129.8200","158.9332"
"12 Jan 2026","U.S. DOLLAR","157.2435","149.3800","129.3800","158.6343"
"13 Jan 2026","U.S. DOLLAR","156.7716","148.9300","128.9300","158.6646"
"14 Jan 2026","U.S. DOLLAR","156.7732","148.9300","128.9300","158.5619"
"15 Jan 2026","U.S. DOLLAR","156.9282","149.0800","129.0800","158.7075"
"16 Jan 2026","U.S. DOLLAR","156.9332","149.0900","129.0900","158.4082"
"19 Jan 2026","U.S. DOLLAR","156.5684","148.7400","128.7400","158.3082"
"20 Jan 2026","U.S. DOLLAR","156.2755","148.4600","128.4600","158.2640"
"21 Jan 2026","U.S. DOLLAR","156.5520","148.7200","128.7200","158.0164"
"22 Jan 2026","U.S. DOLLAR","156.4935","148.6700","128.6700","158.0016"
"23 Jan 2026","U.S. DOLLAR","156.4800","148.6600","128.6600","157.7319"
"26 Jan 2026","U.S. DOLLAR","156.2343","148.4200","128.4200","157.4061"
"27 Jan 2026","U.S. DOLLAR","155.8659","148.0700","128.0700","157.5525"
"28 Jan 2026","U.S. DOLLAR","155.9968","148.2000","128.2000","157.5829"
"29 Jan 2026","U.S. DOLLAR","155.8454","148.0500","128.0500","157.6191"
"30 Jan 2026","U.S. DOLLAR","156.1217","148.3200","128.3200","157.6030"
"02 Feb 2026","U.S. DOLLAR","155.8118","148.0200","128.0200","157.5419"
"03 Feb 2026","U.S. DOLLAR","155.8796","148.0900","128.0900","157.5420"
"04 Feb 2026","U.S. DOLLAR","155.4844","147.7100","127.7100","157.4315"
"05 Feb 2026","U.S. DOLLAR","155.5916","147.8100","127.8100","157.3811"
"06 Feb 2026","U.S. DOLLAR","155.5162","147.7400","127.7400","157.3334"
"09 Feb 2026","U.S. DOLLAR","155.5697","147.7900","127.7900","157.1438"
"10 Feb 2026","U.S. DOLLAR","155.3036","147.5400","127.5400","156.9458"
"11 Feb 2026","U.S. DOLLAR","155.3083","147.5400","127.5400","156.8683"
"12 Feb 2026","U.S. DOLLAR","155.4591","147.6900","127.6900","157.0190"
"13 Feb 2026","U.S. DOLLAR","155.4942","147.7200","127.7200","156.9228"
"16 Feb 2026","U.S. DOLLAR","155.1734","147.4100","127.4100","157.0248"
"17 Feb 2026","U.S. DOLLAR","154.7778","147.0400","127.0400","156.9295"
"19 Feb 2026","U.S. DOLLAR","154.9263","147.1800","127.1800","156.9357"
"20 Feb 2026","U.S. DOLLAR","155.1682","147.4100","127.4100","156.9267"
"23 Feb 2026","U.S. DOLLAR","155.3559","147.5900","127.5900","156.7435"
"24 Feb 2026","U.S. DOLLAR","155.0390","147.2900","127.2900","156.7857"
"25 Feb 2026","U.S. DOLLAR","154.9284","147.1800","127.1800","156.9348"
"26 Feb 2026","U.S. DOLLAR","155.0039","147.2500","127.2500","157.0402"
"27 Feb 2026","U.S. DOLLAR","155.7678","147.9800","127.9800","157.0728"
"02 Mar 2026","U.S. DOLLAR","155.3493","147.5800","127.5800","157.2639"
"03 Mar 2026","U.S. DOLLAR","155.2506","147.4900","127.4900","157.1256"
"04 Mar 2026","U.S. DOLLAR","155.4167","147.6500","127.6500","157.2022"
"05 Mar 2026","U.S. DOLLAR","155.6898","147.9100","127.9100","157.3237"
"06 Mar 2026","U.S. DOLLAR","155.7754","147.9900","127.9900","157.3297"
"09 Mar 2026","U.S. DOLLAR","156.0278","148.2300","128.2300","157.4761"
"10 Mar 2026","U.S. DOLLAR","155.7810","147.9900","127.9900","157.5575"
"11 Mar 2026","U.S. DOLLAR","155.6118","147.8300","127.8300","157.7154"
"12 Mar 2026","U.S. DOLLAR","155.9988","148.2000","128.2000","157.8672"
"13 Mar 2026","U.S. DOLLAR","155.9541","148.1600","128.1600","157.9382"
"16 Mar 2026","U.S. DOLLAR","156.3959","148.5800","128.5800","158.1625"
"17 Mar 2026","U.S. DOLLAR","156.1086","148.3000","128.3000","158.2322"
"18 Mar 2026","U.S. DOLLAR","156.2324","148.4200","128.4200","158.3848"
"19 Mar 2026","U.S. DOLLAR","156.2070","148.4000","128.4000","158.5361"
"20 Mar 2026","U.S. DOLLAR","156.6010","148.7700","128.7700","158.6594"
"23 Mar 2026","U.S. DOLLAR","156.9090","149.0600","129.0600","158.7130"
"24 Mar 2026","U.S. DOLLAR","156.6403","148.8100","128.8100","157.8682"
"25 Mar 2026","U.S. DOLLAR","156.2561","148.4400","128.4400","158.5293"
"26 Mar 2026","U.S. DOLLAR","156.5008","148.6800","128.6800","158.6222"
"27 Mar 2026","U.S. DOLLAR","157.1046","149.2500","129.2500","158.9408"
"30 Mar 2026","U.S. DOLLAR","157.3019","149.4400","129.4400","159.1590"
"31 Mar 2026","U.S. DOLLAR","157.2739","149.4100","129.4100","158.6152"
"01 Apr 2026","U.S. DOLLAR","156.7580","148.9200","128.9200","158.5846"
"02 Apr 2026","U.S. DOLLAR","156.9675","149.1200","129.1200","158.8722"
"07 Apr 2026","U.S. DOLLAR","156.5357","148.7100","128.7100","158.9153"
"08 Apr 2026","U.S. DOLLAR","157.1760","149.3200","129.3200","158.7243"
"09 Apr 2026","U.S. DOLLAR","157.2233","149.3600","129.3600","158.9347"
"10 Apr 2026","U.S. DOLLAR","156.9517","149.1000","129.1000","159.2000"
"13 Apr 2026","U.S. DOLLAR","156.9841","149.1300","129.1300","159.1844"
