vendor_a,item_number_a,description_a,price_a_usd,vendor_b,item_number_b,description_b,price_b_usd,item_match_score,match_method
Workpro,1175,"50' x 7/32"" Braided Poly Rope",1.87,Metabo,345000160,Nylon rope                              ,0.44,57.1,description
Workpro,1176,8-in-1 Jar Lid Opener w/Rubber Grip,1.87,Metabo,316096190,soft grip                               ,6.93,61.5,description
Workpro,1177,"8"" Magnetic Level w/Angle Finder",1.87,Metabo,316073530,magnetic rail                           ,349.05,76.2,description
Workpro,1400,9 pc. SAE Hex Key Set,3.97,Metabo,339100050,key                                     ,0.44,100.0,description
Workpro,1401,9 pc. Metric Hex Key Set,3.97,Metabo,339100050,key                                     ,0.44,100.0,description
Workpro,1402,9 pc. SAE Folding Hex Key Set,3.97,Metabo,339100050,key                                     ,0.44,100.0,description
Workpro,1404,"8"" Adjustable Wrench",3.97,Metabo,344099460,leg adjustable                          ,8.01,83.3,description
Workpro,1405,5 pc. Combination Wrench Set,3.97,Metabo,301100990,hook wrench                             ,5.97,70.6,description
Workpro,1406,5 pc. Combination Wrench Set,3.97,Metabo,301100990,hook wrench                             ,5.97,70.6,description
Workpro,1407,"3/8"" Dr. Ratchet",3.97,Metabo,601553000,"DRS 95-1/2"" Ratchet",90.0,74.3,description
Workpro,1408,"3 pc. 3/8"" Dr. Extension Set",3.97,Metabo,631360000,Extension                               ,11.21,100.0,description
Workpro,1410,"3 pc. 3/8"" Dr. Spark Plug Socket Set",3.97,Metabo,143190830,Plug                                    ,6.93,100.0,description
Workpro,1413,25 pc. Magnetic T-Bar Driver Set,3.97,Metabo,316073530,magnetic rail                           ,349.05,76.2,description
Workpro,1415,33 pc. Bit Set,3.97,Metabo,623309000,SDS-max chiselling bit set 2 pieces SP  ,14.2,66.7,description
Workpro,1417,2-Way Ratchet,3.97,Metabo,343460390,switch 2-way AC                         ,2.99,71.4,description
Workpro,1419,6 pc. Screwdriver Set w/Rack,3.97,Metabo,316064340,Screwdriver set                         ,11.98,100.0,description
Workpro,1420,6 pc. Mini Stubby Screwdriver Set,3.97,Metabo,316064340,Screwdriver set                         ,11.98,100.0,description
Workpro,1422,16 pc. Precision Screwdriver Set,3.97,Metabo,316064340,Screwdriver set                         ,11.98,100.0,description
Workpro,1424,"6-1/2"" Long Nose Locking Pliers",3.97,Metabo,339126880,LOCKING                                 ,0.48,100.0,description
Workpro,1426,"10"" Curved Jaw Locking Pliers",3.97,Metabo,339126880,LOCKING                                 ,0.48,100.0,description
Workpro,1428,"8"" Long Nose Pliers",3.97,Metabo,344080750,Brush long                              ,17.99,57.1,description
Workpro,1429,"7"" Diagonal Cutting Pliers",3.97,Metabo,344164440,Diamond cutting disc Hikoki             ,11.98,60.4,description
Workpro,1432,"11"" Long Reach Pliers",3.97,Metabo,903028360,"Washable filter insert 1"" long          ",12.4,58.8,description
Workpro,1433,"11"" Long Reach Bent Pliers",3.97,Metabo,903028360,"Washable filter insert 1"" long          ",12.4,57.1,description
Workpro,1434,"2 pc. 6"" Plier Set",3.97,Metabo,341006210,Cylinder set                            ,94.78,60.0,description
Workpro,1435,5 pc. Snap Ring Plier Set,3.97,Metabo,141155810,Ring                                    ,0.44,100.0,description
Workpro,1436,Revolving Leather Hole Punch Pliers,3.97,Metabo,343392820,Hole punch                              ,0.48,100.0,description
Workpro,1437,Straight Cut Aviation Tin Snips,3.97,Metabo,623934000,"Flat-pin spanner, straight              ",1.74,59.6,description
Workpro,1439,50 pk. Utility Knife Blades,3.97,Metabo,316026410,KNIFE COMPL.                            ,27.47,58.8,description
Workpro,1440,13 pc. Hobby Knife Set,3.97,Metabo,316026410,KNIFE COMPL.                            ,27.47,58.8,description
Workpro,1446,"6 pc. 6"" File Set",3.97,Metabo,602244500,BFE 9-20 Band file SET,455.0,64.0,description
Workpro,1448,2 pc. Scissors Set,3.97,Metabo,316081150,Accessory set                           ,11.98,64.5,description
Workpro,1449,"3 pc. 9"" Plastic Brush Set",4.47,Metabo,316035030,Brush set                               ,3.47,100.0,description
Workpro,1450,2 pc. Wood Handle Wire Brush,4.47,Metabo,314000550,Handle                                  ,1.98,100.0,description
Workpro,1451,12 pc. Long Handle Artist Brush Set,3.97,Metabo,314000550,Handle                                  ,1.98,100.0,description
Workpro,1452,5 pc. Polyester Paint Brush Set,3.97,Metabo,316035030,Brush set                               ,3.47,100.0,description
Workpro,1455,10 pc. Bungee Cord Set,3.97,Metabo,344115200,Bungee Cord                             ,1.01,100.0,description
Workpro,1456,Drill Pump,3.97,Metabo,316076170,Oil pump vpl.                           ,4.0,69.6,description
Workpro,1459,13 pc. HSS Drill Bit Set,3.97,Metabo,626728000,Drill bit assortment set SP 13          ,8.17,80.0,description
Workpro,1462,3 pc. Rotary Wire Brush Set,4.47,Metabo,316035030,Brush set                               ,3.47,100.0,description
Workpro,1463,Wire Wheel Brush Set,4.47,Metabo,316035030,Brush set                               ,3.47,100.0,description
Workpro,1464,16 oz. Claw Hammer w/Wood Handle,3.97,Metabo,314000550,Handle                                  ,1.98,100.0,description
Workpro,1465,16 oz. Ball Pein Hammer w/Wood Handle,3.97,Metabo,143115330,Ball                                    ,0.44,100.0,description
Workpro,1466,32 oz. Rubber Mallet Wood Handle,3.97,Metabo,314000550,Handle                                  ,1.98,100.0,description
Workpro,1472,"13"" Tool Bag",4.35,Metabo,316059760,Tool set                                ,3.47,66.7,description
Workpro,1474,25' Cushion Grip Tape Measure,3.97,Metabo,316096190,soft grip                               ,6.93,61.5,description
Workpro,1477,2 pc. Square Set,3.97,Metabo,141130660,Square nut                              ,0.44,75.0,description
Workpro,1479,2 pc. Pickup Tool Set,3.97,Metabo,316059760,Tool set                                ,3.47,100.0,description
Workpro,1480,Tire Repair Kit,3.97,Metabo,1010698681,WIRE LEVER  ET                          ,5.97,57.1,description
Workpro,1482,150 pc. Cable Ties,3.97,Metabo,344112910,Cable                                   ,4.97,100.0,description
Workpro,1485,Soldering Iron,3.97,Metabo,341167520,Holder front                            ,4.0,69.2,description
Workpro,1486,Automotive Circuit Tester,3.97,Metabo,343457840,Circuit board                           ,19.96,70.0,description
Workpro,1488,25 pc. Auto Fuse Kit,3.97,Metabo,142110150,Fuse                                    ,2.99,100.0,description
Workpro,1489,30 pc. Mini Fuse Kit,3.97,Metabo,142110150,Fuse                                    ,2.99,100.0,description
Workpro,1491,3 pc. C-Clamp Set,3.97,Metabo,631031000,Set of 2 clamps                         ,40.58,68.8,description
Workpro,1496,15 pc. Paint Brush Set,3.97,Metabo,316035030,Brush set                               ,3.47,100.0,description
Workpro,1502,5 pc. Brush Set,3.97,Metabo,316035030,Brush set                               ,3.47,100.0,description
Workpro,1503,3 pc. Power Drive Socket Adapter Set,3.97,Metabo,630317000,Adapter                                 ,8.03,100.0,description
Workpro,1513,3 pc. Soft Grip Mini Brush Set,4.47,Metabo,316035030,Brush set                               ,3.47,100.0,description
Workpro,1516,12 pk. Glowing Ball Bungees,3.97,Metabo,143115330,Ball                                    ,0.44,100.0,description
Workpro,1518,Tape Gun w/Packing Tape,3.97,Metabo,1388690425,PACKING  ET                             ,22.46,64.3,description
Workpro,1520,"6"" Multi-Use Hand Wire Brush",4.47,Metabo,343001270,Brush                                   ,1.75,100.0,description
Workpro,1523,16 pc. Drill Adapter and Bit Set,3.97,Metabo,630317000,Adapter                                 ,8.03,100.0,description
Workpro,1529,12 oz. Claw Hammer w/Fiberglass Handle,3.97,Metabo,314000550,Handle                                  ,1.98,100.0,description
Workpro,1530,8.5 oz. Hand Pump Oiler Can,3.97,Metabo,143190180,Oiler                                   ,0.44,100.0,description
Workpro,1531,8 pc. Folding Star Key Set,3.97,Metabo,339100050,key                                     ,0.44,100.0,description
Workpro,1532,4 pc. Auto Trim Remove Tool Set,3.97,Metabo,316059760,Tool set                                ,3.47,100.0,description
Workpro,1533,Oil Filter Wrench w/Swivel Handle,3.97,Metabo,314000550,Handle                                  ,1.98,100.0,description
Workpro,1535,"1/4"" x 10' Recoil Air Hose",3.97,Metabo,135190580,Hose                                    ,1.75,100.0,description
Workpro,1536,145 pc. Cotter Pin Set w/Removal Tool,4.47,Metabo,141164220,Pin                                     ,0.44,100.0,description
Workpro,1537,4 pc. Socket Adapter Set,3.97,Metabo,630317000,Adapter                                 ,8.03,100.0,description
Workpro,1538,4-in-1 Battery Terminal Cleaner,4.47,Metabo,339005630,Terminal                                ,1.75,100.0,description
Workpro,1539,"4"" Angled Blow Gun",3.97,Metabo,600798850,BP 18 LTX DC Cordless blow gun (Pick&Mix),60.0,61.5,description
Workpro,1540,3 Speed Mini Desk/Travel Fan Li-Ion,3.97,Metabo,315418680,Fan                                     ,9.97,100.0,description
Workpro,1542,Fuel & Fluid Transfer Siphon Pump,3.97,Metabo,341165290,PUMP HEAD                               ,6.93,61.5,description
Workpro,1543,5 pc. Auto Detailing Brush Set,4.47,Metabo,316035030,Brush set                               ,3.47,100.0,description
Workpro,1544,Precision Utility Cutter,3.97,Metabo,316015300,Cutter block                            ,37.62,66.7,description
Workpro,179,500LM Li-Ion COB Clip Light,9.35,Metabo,626982000,LED light                               ,11.74,71.4,description
Workpro,189,1000LM Li-Ion Work Light w/Power Bank,17.18,Metabo,626982000,LED light                               ,11.74,71.4,description
Workpro,1903,2 pc. Strap Wrench Set,7.17,Metabo,339137630,Strap                                   ,4.97,100.0,description
Workpro,1904,"1/2"" Dr. Ratchet",7.17,Metabo,601553000,"DRS 95-1/2"" Ratchet",90.0,85.7,description
Workpro,1906,"10 pc. 1/2"" Dr. Socket Set",7.17,Metabo,344490390,SOCKET                                  ,24.97,100.0,description
Workpro,1908,21 pc. Offset Ratcheting Driver,7.17,Metabo,1319664463,DRIVER UNIT  ET                         ,22.46,60.0,description
Workpro,1909,10 pc. Screwdriver Set,7.17,Metabo,316064340,Screwdriver set                         ,11.98,100.0,description
Workpro,1910,7 pc. SAE Nut Driver Set,7.17,Metabo,341102110,Nut                                     ,0.77,100.0,description
Workpro,1911,3 pc. Pry Bar Set,7.17,Metabo,626719000,"Accessory set SP, 43 pieces             ",15.13,59.1,description
Workpro,1912,5 pc. Scraper and Awl Set,7.17,Metabo,626961000,Scraper HCS 52 mm                       ,5.69,58.3,description
Workpro,1913,"11"" Locking C-Clamp Pliers",7.17,Metabo,339126880,LOCKING                                 ,0.48,100.0,description
Workpro,1914,2 pc. Locking Plier Set,7.17,Metabo,339126880,LOCKING                                 ,0.48,100.0,description
Workpro,1916,3 pc. Plier Set,7.17,Metabo,341006210,Cylinder set                            ,94.78,66.7,description
Workpro,1919,"12"" Bolt Cutter",7.17,Metabo,141163190,Bolt                                    ,0.44,100.0,description
Workpro,1922,5 pc. Scissors Set,7.17,Metabo,316081150,Accessory set                           ,11.98,64.5,description
Workpro,1929,10 pc. Bungee Cord Set,7.17,Metabo,344115200,Bungee Cord                             ,1.01,100.0,description
Workpro,1930,14' Emergency Tow Rope,7.17,Metabo,345000160,Nylon rope                              ,0.44,57.1,description
Workpro,1934,20 oz Framing Hammer w/Fiberglass Handle,7.17,Metabo,314000550,Handle                                  ,1.98,100.0,description
Workpro,1935,2 lb. Sledge Hammer w/Fiberglass Handle,7.17,Metabo,314000550,Handle                                  ,1.98,100.0,description
Workpro,1936,1 lb. Dead Blow Hammer,7.17,Metabo,341164490,Hammer                                  ,11.98,100.0,description
Workpro,1939,"15"" Wide-Mouth Tool Bag",7.17,Metabo,316059760,Tool set                                ,3.47,66.7,description
Workpro,1941,2 pc. Cushion Grip Tape Measure,7.17,Metabo,316096190,soft grip                               ,6.93,61.5,description
Workpro,1943,1000 pc. Cable Ties,7.17,Metabo,344112910,Cable                                   ,4.97,100.0,description
Workpro,1944,49 pc. Hand Rivet Gun Set,7.17,Metabo,341520060,Rivet                                   ,0.48,100.0,description
Workpro,1945,3-Way Staple Gun,7.17,Metabo,4844013510,STAPLE                                  ,6.93,100.0,description
Workpro,1948,14GA 8' Battery Jumper Cables,7.17,Metabo,343442570,battery cover                           ,4.0,70.0,description
Workpro,1949,6 Outlet Power Strip,7.17,Metabo,316074680,Power Assy                              ,199.56,66.7,description
Workpro,1950,40 pc. Socket Set,7.17,Metabo,344490390,SOCKET                                  ,24.97,100.0,description
Workpro,1951,44 pc. Ratcheting Bit Driver Set,7.17,Metabo,628322000,"Tile core bit set ""Dry"" 3pcs            ",131.73,60.0,description
Workpro,1960,2 pc. Pocket Knife,7.17,Metabo,341705650,Screw f. knife                          ,0.44,62.5,description
Workpro,1973,15 pc. Assorted Chip Brushes,7.17,Metabo,344113700,Chip bag                                ,5.97,66.7,description
Workpro,1976,3 pk. Folding Utility Knives w/Blades,7.17,Metabo,2010201007,FOLDING LEG                             ,32.33,77.8,description
Workpro,1980,8 pc. Hook & Pick Set,7.17,Metabo,316052120,Hook                                    ,1.26,100.0,description
Workpro,1982,40-Watt Heavy Duty Glue Gun,7.17,Metabo,136013090,Glue                                    ,6.93,100.0,description
Workpro,1983,"Small Paint Roller, Brush, and Tray Kit",8.07,Metabo,340033560,small gear                              ,2.99,66.7,description
Workpro,1985,Class-2 High Visibility Safety Vest XL,7.17,Metabo,341146380,Safety band                             ,24.97,70.6,description
Workpro,1986,Class-2 High Visibility Safety Vest 5XL,7.17,Metabo,341146380,Safety band                             ,24.97,70.6,description
Workpro,1987,"12 pc. Hole Saw Kit 3/4 to 2-1/2""",7.17,Metabo,625435000,"Bi-metal hole saw set 3, 11 pieces      ",136.21,62.7,description
Workpro,2001,Project Pro Large Tool Table Assortment,2117.8,Metabo,315419610,Table                                   ,59.72,100.0,description
Workpro,2001-R,Large Tool Table Restock Assortment 2001,1058.9,Metabo,315419610,Table                                   ,59.72,100.0,description
Workpro,2006,Project Pro Small Tool Table Assortment,874.51,Metabo,315419610,Table                                   ,59.72,100.0,description
Workpro,2006-R,Small Tool Table Restock Assortment 2006,437.26,Metabo,315419610,Table                                   ,59.72,100.0,description
Workpro,2010,Large Tool Table Merchandiser,278.92,Metabo,315419610,Table                                   ,59.72,100.0,description
Workpro,20100,2 pk. PTFE Thread Sealing Tape,0.73,Metabo,316028360,Sealing set                             ,2.99,77.8,description
Workpro,20101,2 pk. Black Electrical Tape,0.98,Metabo,343092440,Electronic unit AC KH 230V              ,24.97,64.2,description
Workpro,20102,Silver Duct Tape,1.74,Metabo,135061210,silver foil                             ,174.91,70.6,description
Workpro,20103-B,Bin for 20103,3.72,Metabo,3201004330,"COI BD 2,50X190-0,3                     ",6.93,56.2,description
Workpro,20104,"3/8"" Dr. Rubber Grip Ratchet",2.75,Metabo,343430090,Rubber cap                              ,0.77,75.0,description
Workpro,20104-B,Bin for 20104,3.72,Metabo,1385419178,BUSHING RD 16X41                        ,4.46,55.2,description
Workpro,20105-B,Bin for 20105,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20106,"3/8"" Dr. 5/8"" Spark Plug Socket",0.99,Metabo,143190830,Plug                                    ,6.93,100.0,description
Workpro,20108,"6"" Slip Joint Pliers",2.41,Metabo,339145940,slip case                               ,0.44,61.5,description
Workpro,20108-B,Bin for 20108,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,2011,Lower Basket for Tool Table,66.38,Metabo,315419610,Table                                   ,59.72,100.0,description
Workpro,20110,"6"" Long Nose Pliers",2.15,Metabo,344080750,Brush long                              ,17.99,57.1,description
Workpro,20110-B,Bin for 20110,3.72,Metabo,1385419178,BUSHING RD 16X41                        ,4.46,55.2,description
Workpro,20111-B,Bin for 20111,3.72,Metabo,1385419178,BUSHING RD 16X41                        ,4.46,55.2,description
Workpro,20116,6-in-1 Screwdriver,2.0,Metabo,344199570,Screwdriver                             ,0.77,100.0,description
Workpro,20116-B,Bin for 20116,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20117,"#2 X 4"" Phillips Screwdriver",0.91,Metabo,344199570,Screwdriver                             ,0.77,100.0,description
Workpro,20117-B,Bin for 20117,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20118-B,Bin for 20118,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20119,"Snap Blade Knife, 8pt",0.7,Metabo,341144790,Blade                                   ,2.99,100.0,description
Workpro,20119-B,Bin for 20119,3.72,Metabo,1385419178,BUSHING RD 16X41                        ,4.46,55.2,description
Workpro,2012,Small Tool Table Merchandiser,121.83,Metabo,315419610,Table                                   ,59.72,100.0,description
Workpro,20120,"3"" C-Clamp",4.13,Metabo,343463950,G-clamp                                 ,11.98,70.6,description
Workpro,20120-B,Bin for 20120,3.72,Metabo,6341066164,"SUPPORT RIN 10X1,25                     ",1.01,56.2,description
Workpro,20122,"12' x 5/8"" Tape Measure",1.81,Metabo,341703840,Tap tite screw M 3 X 8                  ,0.44,62.2,description
Workpro,20124,2 pc. Paint Brush Set,1.25,Metabo,316035030,Brush set                               ,3.47,100.0,description
Workpro,20124-B,Bin for 20124,3.72,Metabo,6341066164,"SUPPORT RIN 10X1,25                     ",1.01,56.2,description
Workpro,20126,Telescoping Magnetic Pickup Tool,1.72,Metabo,316073530,magnetic rail                           ,349.05,76.2,description
Workpro,20126-B,Bin for 20126,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20127,Fingernail Brush,0.54,Metabo,343001270,Brush                                   ,1.75,100.0,description
Workpro,20127-B,Bin for 20127,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20128,Telescoping inspection Mirror,1.35,Metabo,628790000,Telescopic support                      ,81.72,59.6,description
Workpro,20129,Telescoping Magnetic Pickup Tool 8 lb.,2.32,Metabo,316073530,magnetic rail                           ,349.05,76.2,description
Workpro,20130,Single Blade Scraper,1.19,Metabo,341144790,Blade                                   ,2.99,100.0,description
Workpro,20134,Metal Battery Terminal Brush,1.61,Metabo,339005630,Terminal                                ,1.75,100.0,description
Workpro,20134-B,Bin for 20134,3.72,Metabo,1385419178,BUSHING RD 16X41                        ,4.46,55.2,description
Workpro,20135,Super Glue,0.57,Metabo,136013090,Glue                                    ,6.93,100.0,description
Workpro,20135-B,Bin for 20135,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20140,3 pc. Cleaning Brushes,1.38,Metabo,341167130,Cleaning Cloth                          ,4.0,72.7,description
Workpro,20140-B,Bin for 20140,3.72,Metabo,3201011433,"COI BD 2,00X140-0,3                     ",3.47,56.2,description
Workpro,20145,67 pc. Bit Set,6.71,Metabo,623309000,SDS-max chiselling bit set 2 pieces SP  ,14.2,66.7,description
Workpro,20145-B,Bin for 20145,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20146,9 pc. SAE Aluminum Hex Key Set,5.28,Metabo,339100050,key                                     ,0.44,100.0,description
Workpro,20146-B,Bin for 20146,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20147,10 pc. Aluminum Folding Star Key Set,5.28,Metabo,339100050,key                                     ,0.44,100.0,description
Workpro,20148,8 pc. Metric Aluminum Hex Key Set,5.28,Metabo,339100050,key                                     ,0.44,100.0,description
Workpro,20148-B,Bin for 20148,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20149-B,Bin for 20149,3.72,Metabo,1385419178,BUSHING RD 16X41                        ,4.46,55.2,description
Workpro,20150,Lighted Magnetic Pickup Tool,4.57,Metabo,316073530,magnetic rail                           ,349.05,76.2,description
Workpro,20150-B,Bin for 20150,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20151,38 pc. Ratcheting Driver Set,6.37,Metabo,604119500,DRS 68 SET Ratchet,100.0,69.6,description
Workpro,20151-B,Bin for 20151,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20152,6-in-1 Screwdriver,2.98,Metabo,344199570,Screwdriver                             ,0.77,100.0,description
Workpro,20152-B,Bin for 20152,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20154,33 pc. Precision Driver Set,8.09,Metabo,1009739676,Door lock system  BAS 317 PRECISION     ,1.75,62.3,description
Workpro,20154-B,Bin for 20154,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20156,23 pc. Ratcheting Bit and Socket Set,7.79,Metabo,344490390,SOCKET                                  ,24.97,100.0,description
Workpro,20161-B,Bin for 20161,3.72,Metabo,1385419178,BUSHING RD 16X41                        ,4.46,62.1,description
Workpro,20162,"6"" Diagonal Pliers",2.55,Metabo,1382641058,"DIAGONAL STRUT BL 2,5X30X830            ",6.93,61.5,description
Workpro,20162-B,Bin for 20162,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20165,5 pk. Colored Electrical Tape,2.78,Metabo,343090660,electrical connection inlet cpl.        ,1.01,62.3,description
Workpro,20165-B,Bin for 20165,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,64.3,description
Workpro,20169,4X Magnifying Glass,4.37,Metabo,1381214393,MAGNIFYING GLASS SEAT                   ,0.77,91.4,description
Workpro,20169-B,Bin for 20169,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20170-B,Bin for 20170,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20181-B,Bin for 20181,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20183,Multi-Purpose Scissors,1.94,Metabo,630328000,Multi-purpose nozzle with 3 inserts     ,24.15,74.3,description
Workpro,20183-B,Bin for 20183,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20187,3v Pen Style Cordless Engraver,4.36,Metabo,341167400,cordless control                        ,24.97,66.7,description
Workpro,20191,Tweezers with LED Light,4.28,Metabo,626982000,LED light                               ,11.74,100.0,description
Workpro,20193,Back Scratcher Pickup Tool,3.0,Metabo,316059760,Tool set                                ,3.47,66.7,description
Workpro,20195,5 pc. Polyester Paint Brush Set,2.81,Metabo,316035030,Brush set                               ,3.47,100.0,description
Workpro,20197-B,Bin for 20197,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20202,70+LM Penlight,3.92,Metabo,626982000,LED light                               ,11.74,60.9,description
Workpro,20203,100LM Bat Light,7.04,Metabo,626982000,LED light                               ,11.74,71.4,description
Workpro,20205,Mini Lock Back Utility Knife,4.14,Metabo,343451310,lock                                    ,0.44,100.0,description
Workpro,20207,Mini Razor Scraper,0.66,Metabo,626961000,Scraper HCS 52 mm                       ,5.69,58.3,description
Workpro,20209,350LM COB Work Light,5.85,Metabo,626982000,LED light                               ,11.74,71.4,description
Workpro,2021,Tool Tablesign Kit,10.3,Metabo,316059760,Tool set                                ,3.47,66.7,description
Workpro,20212-B,Bin for 20212,3.72,Metabo,6341066164,"SUPPORT RIN 10X1,25                     ",1.01,56.2,description
Workpro,20216-B,Bin for 20216,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20218-B,Bin for 20218,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20222,Heavy Duty Fingernail Brush,0.62,Metabo,343001270,Brush                                   ,1.75,100.0,description
Workpro,20224,"2-1/2"" Magnetic Hook",2.45,Metabo,316052120,Hook                                    ,1.26,100.0,description
Workpro,20226,"2"" Round Dial Tire Pressure Gauge",4.57,Metabo,339148880,GAUGE                                   ,1.98,100.0,description
Workpro,20226-B,Bin for 20226,3.72,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
Workpro,20232,5 LED Flashlight Pickup Tool,5.67,Metabo,343083660,LED                                     ,11.98,100.0,description
Workpro,20232-B,Bin For 20232,3.9,Metabo,320054840,bearing 6203-2rs                        ,1.26,55.2,description
Workpro,20233,6' Clear Mini Tape Measure,1.51,Metabo,343442380,"lens , clear                            ",8.01,58.8,description
Workpro,20234,2 pc. Screwdriver Keychain,1.55,Metabo,344199570,Screwdriver                             ,0.77,100.0,description
Workpro,20235-B,Bin For 20235,3.9,Metabo,630203000,Die for Kn 6875                         ,55.67,57.1,description
