sage_ITEMNO,sage_description,sage_pt_cost,vendor,item_number,item_description,vendor_price_usd,match_score,match_step
60200,KIT TIRE REPAIR DELUXE                                      ,3.51,Workpro,60200,Deluxe Tire Repair Kit,4.04,100.0,step1_itemno
60206,KIT PATCH TIRE RADIAL TUBELESS                              ,1.71,Workpro,60106,"1-1/4"" Plastic Valve Extensions",1.24,80.0,step1_itemno
60207,KIT PATCH TIRE BIAS & RADIAL                                ,1.57,Workpro,60207,Bias & Radial Tire Patch Kit,1.81,100.0,step1_itemno
60208,PLUGS TIRE REPAIR 30-PK                                     ,3.14,Workpro,60208,30 pk. Tubeless Tire Replacement Plugs,3.2,100.0,step1_itemno
60209,KIT PLUG TIRE REPAIR (TUBELESS) (5-PK)                      ,1.07,Workpro,60209,5 pk. Tubeless Tire Replacement Plugs,1.25,100.0,step1_itemno
60307,GAUGE PRESSURE TRUCK TIRE TOOLS (10-150 PSI)                ,8.05,Workpro,60307,10-150 psi Truck Tire Pressure Gauge,8.21,100.0,step1_itemno
60309,GAUGE PRESSURE TIRE DIGITAL DUAL HEAD                       ,11.93,Workpro,60209,5 pk. Tubeless Tire Replacement Plugs,1.25,80.0,step1_itemno
60311,GAUGE PRESSURE TRUCK TIRE DIGITAL                           ,13.16,Workpro,60101,"1"" Chrome Sleeve Tire Valves .453/.625""",3.49,80.0,step1_itemno
60398,INFLATOR TIRE COMPACT 120V                                  ,37.57,Workpro,W7900,12V Compact Tire Inflator w/LED Light,12.14,89.4,step3_description
60399,INFLATOR TIRE 12 VOLT COMPACT                               ,10.86,Workpro,W7900,12V Compact Tire Inflator w/LED Light,12.14,84.0,step3_description
60401,INFLATOR TIRE RECHARGEABLE 12V                              ,34.13,Workpro,60101,"1"" Chrome Sleeve Tire Valves .453/.625""",3.49,80.0,step1_itemno
60402,INFLATOR TIRE WITH LED                                      ,19.47,Workpro,60402,Tire Inflator w/LED,22.86,100.0,step1_itemno
60503,TOOL TYRE VALVE                                             ,0.92,Workpro,60503,4-Way Valve Tool,0.93,100.0,step1_itemno
BC-14,"CUTTER BOLT TOOL 14""                                        ",10.02,Workpro,BC-14,"14"" Bolt Cutter",10.22,100.0,step1_itemno
BC-18,"CUTTER BOLT TOOL 18""                                        ",9.15,Workpro,BC-18,"18"" Bolt Cutter",10.52,100.0,step1_itemno
BC-24,"CUTTER BOLT TOOL 24""                                        ",14.6,Workpro,BC-24,"24"" Bolt Cutter",14.9,100.0,step1_itemno
BC-30,"CUTTER BOLT TOOL 30""                                        ",19.85,Workpro,BC-30,"30"" Bolt Cutter",20.26,100.0,step1_itemno
BC-36,"CUTTER BOLT TOOL 36""                                        ",22.49,Workpro,BC-36,"36"" Bolt Cutter",22.96,100.0,step1_itemno
BC-8,"CUTTER BOLT TOOL 8""                                         ",3.17,Workpro,BC-8,"8"" Bolt Cutter",3.71,100.0,step1_itemno
M1263,"SOCKET IMPACT 3/4 DR 1-7/8"" DEEP                            ",26.15,Workpro,M1263,"3/4"" Dr. 1-7/8"" 6pt Deep Impact Socket",30.0,100.0,step1_itemno
M194,"WRENCH TORQUE MICRO (SCREWDRIVER) 1/4"" DR 3"" - 15"" LBS      ",56.41,Workpro,M194,Micro Torque Screwdriver,64.16,100.0,step1_itemno
M197,"WRENCH TORQUE PRECISION PRO LOCK (3/8) 30-250"" /LBS TOOLS   ",45.69,Workpro,M197,"3/8"" Dr. Torque Wrench 250 in/lb.",49.28,100.0,step1_itemno
M198,WRENCH TORQUE PRECISION PRO LOCK (3/8) 10-100 FT./ LBS TOOLS,45.96,Workpro,M198,"3/8"" Dr. Torque Wrench 100 ft/lb.",49.42,100.0,step1_itemno
M199,WRENCH TORQUE PRECISION PRO LOCK (1/2) 25-250 FT./ LBS TOOLS,62.98,Workpro,M199,"1/2"" Dr. Torque Wrench 250 ft/lb.",67.57,100.0,step1_itemno
M200DB,WRENCH TORQUE CLICK  (1/2) 10-150 FT. /LBS TOOLS            ,20.26,Workpro,M200DB,"1/2"" Dr. Click Torque Wrench 150 ft/lb.",21.72,100.0,step1_itemno
M201,"WRENCH TORQUE CLICK 1/4"" DR                                 ",18.22,Workpro,M201,"1/4"" Dr. Click Torque Wrench 200 in/lb.",20.64,100.0,step1_itemno
M202-P,"WRENCH TORQUE CLICK (3/8) 120 TO 960"". /LBS TOOLS           ",17.53,Workpro,M202-P,"3/8"" Dr. Click Torque Wrench 960 in/lb.",18.82,100.0,step1_itemno
M203,WRENCH TORQUE 3/4 DR 50-300ft LB                            ,83.36,Workpro,M203,3/4 Dr. Torque Wrench 50-300 ft/lb.,89.83,100.0,step1_itemno
M204,WRENCH TORQUE 3/4 DR 100-600ft LB                           ,210.09,Workpro,M204,3/4 Dr. Torque Wrench 100-600 ft/lb.,228.12,100.0,step1_itemno
M461,"COUPLER BRASS 1/4"" NPT FEMALE                               ",5.72,Workpro,M461,"1/4"" NPT (F) Universal Coupler",5.84,100.0,step1_itemno
M464,"COUPLER BRASS  HOSE 1/4""                                    ",4.65,Workpro,M464,"1/4"" ID Universal Hose Coupler",5.36,100.0,step1_itemno
M465,"COUPLER BRASS  HOSE 3/8""                                    ",5.12,Workpro,M504C,"1/4"" Male NPT Brass Coupler",4.21,72.2,step3_description
M476,"MENDER HOSE BRASS 2PC 1/4"" (JOINER)                         ",1.65,Workpro,M477,"2 pk. Hose Mender 3/8"" ID",2.7,61.1,step3_description
M477,"MENDER HOSE BRASS 2PC 3/8"" (JOINER)                         ",2.16,Workpro,M477,"2 pk. Hose Mender 3/8"" ID",2.7,100.0,step1_itemno
M478,"KIT HOSE REPAIR 1/4"" ID (7PC)                               ",3.03,Workpro,M478,"7 pc. 1/4"" Hose Repair Kit",3.09,100.0,step1_itemno
M479,"KIT HOSE REPAIR 3/8"" ID (7PC)                               ",3.46,Workpro,M479,"7 pc. 3/8"" Hose Repair Kit",3.63,100.0,step1_itemno
M486,"VALVE BALL 1/4"" NPT (F) X (M)                               ",2.47,Workpro,M486,"1/4"" NPT (F) x (M) Ball Valve",2.52,100.0,step1_itemno
M504C,"COUPLER BRASS 1/4"" NPT MALE TOOL                            ",4.13,Workpro,M504C,"1/4"" Male NPT Brass Coupler",4.21,100.0,step1_itemno
M505C,"PLUG BRASS 1/4"" NPT MALE TOOL 2pc                           ",1.74,Workpro,M505C,"1/4"" NPT Brass Plug (M) M-Type",2.0,100.0,step1_itemno
M516C,"CHUCK TIRE BRASS 1/4"" FEMALE                                ",1.92,Workpro,M516C,"Brass Tire Chuck 1/4"" Female",1.96,100.0,step1_itemno
M517,CHUCK DUAL HEAD TIRE TOOL                                   ,2.8,Workpro,M517,Dual Head Tire Chuck,3.23,100.0,step1_itemno
M520,"AIR CHUCK NPT WITH CLIP 1/4""                                ",3.37,Workpro,M520,"1/4"" NPT Air Chuck w/Clip",3.88,100.0,step1_itemno
M521,INFLATOR/ GAUGE TIRE DIGITAL                                ,9.51,Workpro,M521,Tire Inflator w/Dial Gauge,9.7,100.0,step1_itemno
M523,KIT AIR ACCESSORY 22-PC                                     ,16.825,Workpro,M523,22 pc. Air Accessory Set,17.17,100.0,step1_itemno
M524,KIT BLOW GUN 7Pc                                            ,5.04,Workpro,M524,7 pc. Air Blow Gun Kit,5.14,100.0,step1_itemno
M525,INFLATOR DIGITAL TIRE                                       ,19.73,Workpro,M525,Digital Tire Inflator,20.13,100.0,step1_itemno
M545,GUN ABRASIVE SPOT  BLASTER                                  ,14.04,Workpro,M545,Abrasive Spot Blaster Gun,16.14,100.0,step1_itemno
M549,PORTABLE ABRASIVE BLASTER                                   ,42.35,Workpro,M549,Portable Abrasive Blaster Kit,49.68,100.0,step1_itemno
M552DB,NIBBLER AIR                                                 ,26.37,Workpro,M552DB,Air Nibbler,30.34,100.0,step1_itemno
M553C,PUNCHES FOR M552DB (2 PCS)                                  ,4.02,Workpro,M553C,2 pc. Punches for M552DB,4.63,100.0,step1_itemno
M554C,DIE REPLACEMENT AIR NIBBLER                                 ,7.77,Workpro,M554C,Air Nibbler Replacement Die,8.95,100.0,step1_itemno
M558DB,"WRENCH IMPACT 1/2"" DR AIR TOOL                              ",30.01,Workpro,M558DB,"1/2"" Dr. Impact Wrench",34.52,100.0,step1_itemno
M560DB,"RATCHET 3/8"" DR AIR                                         ",31.2,Workpro,M560DB,"3/8"" Dr. Air Ratchet",31.84,100.0,step1_itemno
M563DB,TOOL CUTTER UTILITY                                         ,15.2,Workpro,M563DB,Air Utility Cut-Off Tool,17.47,100.0,step1_itemno
M564DB,"KIT RATCHET 3/8"" DR AIR 14PC                                ",36.74,Workpro,M560DB,"3/8"" Dr. Air Ratchet",31.84,83.3,step1_itemno
M566DB,"GRINDER HEAVY DUTY DIE 1/4""                                 ",13.98,Workpro,M566DB,"1/4"" Heavy Duty Die Grinder",16.07,100.0,step1_itemno
M567DB,KIT DIE GRINDER MINI 14PC                                   ,16.45,Workpro,M567DB,14 pc. Mini Die Grinder Kit,18.93,100.0,step1_itemno
M570C,KIT SANDBLASTER HEAVY DUTY                                  ,14.6,Workpro,M570C,Heavy Duty Sandblaster Kit,17.14,100.0,step1_itemno
M575,"BLADE CUTTING 3"" METAL W/W M563DB                           ",0.51,Workpro,M575,"3"" Cut-Off Wheels",0.59,100.0,step1_itemno
M579C,BLADE CUTTING METAL W/W M563DB 2PC                          ,1.49,Workpro,M570C,Heavy Duty Sandblaster Kit,17.14,80.0,step1_itemno
M580C,BLADE CUTTING METAL W/W M563DB 4PC                          ,2.7,Workpro,M580C,4 pc. Cut-off Wheel Assorted Disks,3.1,100.0,step1_itemno
M582DB,GUN GREASE AIR                                              ,22.41,Workpro,M582DB,Air Grease Gun,22.87,100.0,step1_itemno
M584DB,GUN AIR CLEANING ENGINE                                     ,12.84,Workpro,M584DB,Air Engine Cleaner,13.1,100.0,step1_itemno
M585DB,INFLATOR/ GAUGE TIRE HD                                     ,8.57,Workpro,M585DB,Heavy Duty Tire Inflator w/Gauge,10.06,100.0,step1_itemno
M586C,GUN AIR BLOW                                                ,2.98,Workpro,M586C,Air Blow Gun,3.49,100.0,step1_itemno
M587C,"SOCKET FLIP 1/2"" DR 3/4 & 13/16                             ",4.83,Workpro,M587C,"1/2"" Dr. 3/4 & 13/16 Flip Socket",5.53,100.0,step1_itemno
M589DB,"SET SOCKET IMPACT 3/8"" DR METRIC (8pc)                      ",7.64,Workpro,M589DB,"8 pc. 3/8"" Dr. Metric Impact Socket Set",8.64,100.0,step1_itemno
M591DB,"SOCKET IMPACT DW 1/2"" DR METRIC (11pc)                      ",22.29,Workpro,M591DB,"11 pc. 1/2"" Dr. Met DW Impact Socket Set",25.39,100.0,step1_itemno
M593DB,"SET SOCKET IMPACT 1/2"" DR METRIC 10 PCS                     ",13.13,Workpro,M593DB,"10 pc. 1/2"" Dr. Met Impact Socket Set",13.99,100.0,step1_itemno
M595DB,"SET SOCKET IMPACT DEEP 3/8"" DR METRIC (8pc)                 ",12.28,Workpro,M595DB,"8 pc. 3/8"" Dr. Met DW Impact Socket Set",14.13,100.0,step1_itemno
M597DB,SHEARS AIR ATTACHMENT (BULK)                                ,32.68,Workpro,M567DB,14 pc. Mini Die Grinder Kit,18.93,83.3,step1_itemno
M598DB,UNIT AIR CONTROL 3-IN-1                                     ,36.02,Workpro,M598DB,3-in-1 Air Control Unit,36.76,100.0,step1_itemno
M601P,"HOSE AIR RUBBER 25'X3/8""                                    ",12.03,Workpro,M601P,"3/8"" x 25' Rubber Air Hose",15.42,100.0,step1_itemno
M602P,"HOSE RECOIL AIR  25FT. X 1/4""                               ",3.85,Workpro,M602P,"1/4"" x 25' Recoil Air Hose",4.43,100.0,step1_itemno
M603P,"HOSE AIR RUBBER 50'X3/8""                                    ",25.95,Workpro,M603P,"3/8"" x 50' Rubber Air Hose",29.85,100.0,step1_itemno
M611,KIT AIR ACCESSORY TOOL                                      ,12.12,Workpro,M611,17 pc. Air Accessory Kit,16.0,100.0,step1_itemno
M617,"HOSE AIR HYBRID  3/8"" x 50'                                 ",22.324,Workpro,M617,"3/8"" x 50' Hybrid Air Hose",22.78,100.0,step1_itemno
M621,"WRENCH IMPACT 3/8"" DR AIR TOOL                              ",30.19,Workpro,M632,"1/2"" Dr. Stubby Air Impact Wrench",85.23,79.4,step3_description
M622,"WRENCH IMPACT 3/8"" DR HEAVY DUTY AIR TOOL                   ",49.91,Workpro,M634,"1"" Dr. Heavy Duty Impact Wrench",231.58,87.3,step3_description
M625,"WRENCH IMPACT 1/2"" DR SUPER DUTY AIR TOOL                   ",61.07,Workpro,M625,"1/2"" Super Duty Impact Wrench",70.22,100.0,step1_itemno
M627,"WRENCH IMPACT 3/4"" DR HEAVY DUTY AIR TOOL                   ",137.93,Workpro,M627,"3/4"" Dr. Heavy Duty Impact Wrench",161.85,100.0,step1_itemno
M628,"HOSE AIR HYBRID  3/8"" x 25'                                 ",14.06,Workpro,M628,"3/8"" x 25' Hybrid Air Hose",14.35,100.0,step1_itemno
M631,"WRENCH IMPACT 1/2"" X-TREME DUTY                             ",89.78,Workpro,M631,"1/2"" X-Treme Duty Impact Wrench",103.25,100.0,step1_itemno
M632,"WRENCH IMPACT 1/2"" AIR DR STUBBY                            ",74.11,Workpro,M632,"1/2"" Dr. Stubby Air Impact Wrench",85.23,100.0,step1_itemno
M634,"WRENCH IMPACT 1"" DR  6"" ANVIL AIR TOOL                      ",226.96,Workpro,M634,"1"" Dr. Heavy Duty Impact Wrench",231.58,100.0,step1_itemno
M635,HOSE AIR REEL  (50 FT)                                      ,31.36,Workpro,M635,50' Air Hose Reel,40.58,100.0,step1_itemno
M655,REEL HD AUTO REWIND HOSE  65 '                              ,90.43,Workpro,M608,25' Auto Rewind Hose Reel w/Hose,79.74,84.0,step3_description
M658,"GRINDER ANGLE HD 4""                                         ",33.2,Workpro,M658,"4"" Heavy Duty Angle Grinder",38.17,100.0,step1_itemno
M662,SHEAR METAL HD                                              ,32.49,Workpro,M662,Heavy Duty Metal Shear,37.36,100.0,step1_itemno
M664,TOOL WINDSHIELD REMOVAL                                     ,91.44,Workpro,M664,Air Windshield Removal Tool,104.22,100.0,step1_itemno
M664-08,BLADE WINDSHIELD REMOVAL TOOL                               ,4.58,Workpro,W80641,Windshield Removal Tool,10.82,100.0,step3_description
M672,"KIT AIR HOSE 50"" REEL W/3/8"" HOSE                           ",79.24,Workpro,M672,50' Air Hose Reel w/Hose,80.86,100.0,step1_itemno
M680,"RIVETER HYDRAULIC HD 3/16""                                  ",50.18,Workpro,M680,"3/16"" Heavy Duty Hydraulic Riveter",57.71,100.0,step1_itemno
M686,"GUN AIR BLOW WITH 3"" EXTENSION                              ",4.82,Workpro,M686,"3 pc. Air Blow Gun w/4"" Extension",4.92,100.0,step1_itemno
M687,"GUN BLOW ANGLED 4""                                          ",2.55,Workpro,M687,"4"" Angled Blow Gun",2.6,100.0,step1_itemno
M688,REGULATOR AIR LOCKING                                       ,8.65,Workpro,M688,Locking Air Pressure Regulator,8.83,100.0,step1_itemno
M693,REGULATOR AIR W/GAUGE                                       ,6.7,Workpro,M693,Air Flow Regulator w/Gauge,6.84,100.0,step1_itemno
M694,"REGULATOR AIR BRASS 1/4"" M  X 1/4"" F NPT                    ",2.69,Workpro,M694,Brass Air Regulator,3.09,100.0,step1_itemno
M695,SEPARATOR OIL & WATER (AIR TANK DRYER)                      ,4.34,Workpro,M695,Oil & Water Separator,4.99,100.0,step1_itemno
M7020B,HAMMER CLAW W/FIBERGLASS 16oz                               ,6.16,Workpro,M7020B,16 oz. Claw Hammer w/Fiberglass Handle,6.29,100.0,step1_itemno
M7030B,HAMMER BALL PEIN W/FIBERGLASS HANDLES 12oz                  ,5.15,Workpro,M7030B,12 oz. Ball Pein Hammer,5.93,100.0,step1_itemno
M7036B,HAMMER BALL PEIN W/FIBERGLASS HANDLES 32oz                  ,8.8,Workpro,M7036B,32 oz. Ball Pein Hammer,8.98,100.0,step1_itemno
M7109,AXE WITH FIBERGLASS HANDLE (3.5lb)                          ,20.2,Workpro,M7109,3.5 lb. Axe w/Fiberglass Handle,26.29,100.0,step1_itemno
M7132,HAMMER RUBBER 32oz                                          ,5.04,Workpro,M7132,32 oz. Rubber Mallet Fiberglass Handle,5.8,100.0,step1_itemno
M715,SPRAYER LIQUID RECHARGABLE (200PSI) (NON-AEROSOL)           ,29.84,Workpro,M715,Non-Aerosol Liquid Sprayer,34.31,100.0,step1_itemno
M740-24,"SOCKET IMPACT 3/4 DR 3/4""                                   ",7.79,Workpro,M740-24,"3/4"" Dr. 3/4"" 6pt Impact Socket",8.87,100.0,step1_itemno
M740-26,"SOCKET IMPACT 3/4"" DR 13/16""                                ",8.39,Workpro,M740-26,"3/4"" Dr. 13/16"" 6pt Impact Socket",8.87,100.0,step1_itemno
M740-27,"SOCKET IMPACT 3/4 DR 13/16"" SQ                              ",9.48,Workpro,M740-27,"3/4"" Dr. 13/16"" Square Impact Socket",10.03,100.0,step1_itemno
M740-28,"SOCKET IMPACT 3/4"" DR 7/8""                                  ",7.82,Workpro,M740-28,"3/4"" Dr. 7/8"" 6pt Impact Socket",8.89,100.0,step1_itemno
M740-30,"SOCKET IMPACT 3/4"" DR 15/16""                                ",8.76,Workpro,M740-30,"3/4"" Dr. 15/16"" 6pt Impact Socket",8.94,100.0,step1_itemno
M740-32,"SOCKET IMPACT 3/4 DR 1""                                     ",8.05,Workpro,M740-32,"3/4"" Dr. 1"" 6pt Impact Socket",8.97,100.0,step1_itemno
M740-34,"SOCKET IMPACT 3/4 DR 1-1/16""                                ",7.95,Workpro,M740-34,"3/4"" Dr. 1-1/16 6pt Impact Socket",9.04,100.0,step1_itemno
M740-36,"SOCKET IMPACT 3/4 DR 1-1/8""                                 ",8.693,Workpro,M740-36,"3/4"" Dr. 1-1/8"" 6pt Impact Socket",9.2,100.0,step1_itemno
M740-38,"SOCKET IMPACT 3/4 DR 1-3/16""                                ",9.24,Workpro,M740-38,"3/4"" Dr. 1-3/16"" 6pt Impact Socket",9.78,100.0,step1_itemno
M740-40,"SOCKET IMPACT 3/4 DR 1-1/4""                                 ",9.77,Workpro,M740-40,"3/4"" Dr. 1-1/4"" 6pt Impact Socket",10.36,100.0,step1_itemno
M740-42,"SOCKET IMPACT 3/4 DR 1-5/16""                                ",10.78,Workpro,M740-42,"3/4"" Dr. 1-5/16"" 6pt Impact Socket",11.49,100.0,step1_itemno
M740-44,"SOCKET IMPACT 3/4 DR 1-3/8""                                 ",9.39,Workpro,M740-44,"3/4"" Dr. 1-3/8"" 6pt Impact Socket",10.6,100.0,step1_itemno
M740-46,"SOCKET IMPACT 3/4 DR 1-7/16""                                ",10.46,Workpro,M740-46,"3/4"" Dr. 1-7/16"" 6pt Impact Socket",12.01,100.0,step1_itemno
M740-48,"SOCKET IMPACT 3/4 DR 1-1/2""                                 ",11.72,Workpro,M740-48,"3/4"" Dr. 1-1/2"" 6pt Impact Socket",13.11,100.0,step1_itemno
M742-32,"SOCKET IMPACT 3/4 DR 1"" DEEP                                ",16.41,Workpro,M742-32,"3/4"" Dr. 1"" Impact 6pt Deep Socket",17.32,100.0,step1_itemno
M742-34,"SOCKET IMPACT 3/4 DR 1-1/16"" DEEP                           ",16.98,Workpro,M742-34,"3/4"" Dr. 1-1/16"" 6pt Deep Impact Socket",17.33,100.0,step1_itemno
M742-36,"SOCKET IMPACT 3/4 DR 1-1/8"" DEEP                            ",16.48,Workpro,M742-36,"3/4"" Dr. 1-1/8"" 6pt Deep Impact Socket",17.43,100.0,step1_itemno
M742-40,"SOCKET IMPACT 3/4 DR 1-1/4"" DEEP                            ",17.4,Workpro,M742-40,"3/4"" Dr. 1-1/4"" 6pt Deep Impact Socket",18.4,100.0,step1_itemno
M742-42,"SOCKET IMPACT 3/4 DR 1-5/16"" DEEP                           ",17.964,Workpro,M742-42,"3/4"" Dr. 1-5/16"" 6pt Deep Impact Socket",18.99,100.0,step1_itemno
M742-44,"SOCKET IMPACT 3/4 DR 1-3/8"" DEEP                            ",19.36,Workpro,M742-44,"3/4"" Dr. 1-3/8"" 6pt Deep Impact Socket",20.53,100.0,step1_itemno
M742-46,"SOCKET IMPACT 3/4 DR 1-7/16"" DEEP                           ",20.45,Workpro,M742-46,"3/4"" Dr. 1-7/16"" 6pt Deep Impact Socket",21.69,100.0,step1_itemno
M742-48,"SOCKET IMPACT 3/4 DR 1-1/2"" DEEP                            ",21.25,Workpro,M742-48,"3/4"" Dr. 1-1/2"" 6pt Deep Impact Socket",22.44,100.0,step1_itemno
M743-33,SOCKET IMPACT 3/4 DR 33MM DEEP                              ,18.7084,Workpro,M743-33,"3/4"" Dr. 33mm 6pt Deep Impact Socket",19.77,100.0,step1_itemno
M745-10,"SOCKET IMPACT 1"" DR 13/16"" SQ                               ",15.74,Workpro,M745-10,"1"" Dr. 13/16"" Sq Impact Socket",17.48,100.0,step1_itemno
M745-22,"SOCKET IMPACT 1 DR 1-3/16"" 6PT                              ",16.42,Workpro,M745-22,"1"" Dr. 1-3/16"" 6pt Impact Socket",18.68,100.0,step1_itemno
M745-40,"SOCKET IMPACT 1"" DR 1-3/4""""                                 ",17.8,Workpro,M745-40,"1"" Dr. 1-3/4"" Impact Socket",19.83,100.0,step1_itemno
M745-44,"SOCKET IMPACT 1"" DR 1-7/8""                                  ",21.32,Workpro,M745-44,"1"" Dr. 1-7/8"" Impact Socket",22.63,100.0,step1_itemno
M745-52,"SOCKET IMPACT 1"" DR 2-1/4""                                  ",30.18,Workpro,M745-52,"1"" Dr. 2-1/4"" Impact Socket",33.94,100.0,step1_itemno
M747-20,"SOCKET IMPACT 1 IN. DR 1-1/4"" DEEP                          ",24.205,Workpro,M747-20,"1"" Dr. 1-1/4"" 6pt Deep Impact Socket",25.8,100.0,step1_itemno
M747-30,"SOCKET IMPACT 1 IN. DR 1-1/2"" DEEP                          ",24.635,Workpro,M747-30,"1"" Dr. 1-1/2"" 6pt Deep Impact Socket",26.3,100.0,step1_itemno
M747-38,"SOCKET IMPACT 1"" DR 1-3/4"" DEEP                             ",23.61,Workpro,M747-38,"1"" Dr. 1-3/4"" Deep Impact Socket",25.03,100.0,step1_itemno
M765,"ADAPTER  IMPACT 3/4"" - 1/2"" TOOLS                           ",7.98,Workpro,M765,"3/4"" to 1/2"" Impact Adapter",8.14,100.0,step1_itemno
M780,"ADAPTER  IMPACT 3/4"" x 1"" TOOLS                             ",10.29,Workpro,M780,"3/4"" x 1"" Impact Adapter",10.94,100.0,step1_itemno
M782,SOCKET BUDD SQUARE 3/4 DR 1 1/2 X 13/16 IN                  ,25.805,Workpro,M782,"3/4 Dr. 1-1/2 x 13/16"" Sq Budd Socket",27.26,100.0,step1_itemno
M783,"SOCKET BUDD SQ 1"" DR 1-1/2"" X 13/16""                        ",26.91,Workpro,M783,"1"" Dr. 1-1/2 x 13/16"" Sq Budd Socket",30.08,100.0,step1_itemno
M785,"ADAPTER  IMPACT 1"" x 3/4"" TOOLS                             ",12.94,Workpro,M785,"1"" x 3/4"" Impact Adapter",13.7,100.0,step1_itemno
M786,"EXTENSION IMPACT 3/4"" DR 7""                                 ",13.28,Workpro,M786,"3/4"" Dr. 7"" Impact Extension",13.55,100.0,step1_itemno
M787,"EXTENSION IMPACT 1"" DR 7""                                   ",18.95,Workpro,M787,"1"" Dr. 7"" Impact Extension",20.29,100.0,step1_itemno
M795,ADAPTER IMPACT SET (8PC)                                    ,24.83,Workpro,M795,8 pc. Impact Adapter Set,25.34,100.0,step1_itemno
M797,"SET SOCKET IMPACT SAE 1/2"" DR 15-PC                         ",45.55,Workpro,M797,"15 pc. 1/2"" Dr. SAE Impact",51.54,100.0,step1_itemno
M862,"SOCKET IMPACT DEEP 1/2"" DR 12MM (6PT)                       ",2.82,Workpro,M862,"1/2"" Dr. 12mm 6pt Deep Impact Socket",3.13,100.0,step1_itemno
M864,"SOCKET IMPACT DEEP 1/2"" DR 14MM (6PT)                       ",2.81,Workpro,M864,"1/2"" Dr. 14mm 6pt Deep Impact Socket",3.12,100.0,step1_itemno
M867,"SOCKET IMPACT 1/2"" Dr 17mm DW                               ",2.84,Workpro,M867,"1/2"" Dr. 17mm 6pt Deep Impact Socket",3.24,100.0,step1_itemno
M869,"SOCKET IMPACT DEEP 1/2"" DR 19MM (6PT)                       ",3.01,Workpro,M869,"1/2"" Dr. 19mm 6pt Deep Impact Socket",3.36,100.0,step1_itemno
M871,"SOCKET IMPACT DEEP 1/2"" DR 21MM (6PT)                       ",3.2,Workpro,M871,"1/2"" Dr. 21mm 6pt Deep Impact Socket",3.58,100.0,step1_itemno
M877,"SOCKET IMPACT DEEP 1/2"" DR 27MM (6PT)                       ",5.89,Workpro,M877,"1/2"" Dr. 27mm 6pt Deep Impact Socket",6.53,100.0,step1_itemno
M880,"SOCKET IMPACT DEEP 1/2"" DR 30MM (6PT)                       ",7.14,Workpro,M880,"1/2"" Dr. 30mm 6pt Deep Impact Socket",7.54,100.0,step1_itemno
M882,"SOCKET IMPACT DEEP 1/2"" DR 32MM (6PT)                       ",6.99,Workpro,M882,"1/2"" Dr. 32mm 6pt Deep Impact Socket",7.83,100.0,step1_itemno
M962,"IMPACT ADAPTER 3/8"" F X 1/2"" M                              ",1.42,Workpro,M962,"3/8"" F x 1/2"" M Impact Adapter",1.59,100.0,step1_itemno
